timestamp_ms,overall_cpu_pct,overall_user_pct,overall_system_pct,overall_iowait_pct,memory_usage_pct,memory_available_kb,swap_usage_kb,load_1min,load_5min,load_15min,total_context_switches,runnable_tasks,blocked_tasks,total_processes,realtime_processes,active_threads,min_response_ms,avg_response_ms,max_response_ms,p95_response_ms,p99_response_ms,avg_scheduler_latency_ns,max_scheduler_latency_ns,page_faults,cache_misses,instructions_per_cycle
1748116502501,0,0,0,0,1.07353e+07,122519828733116,0,0.430176,0.203613,0.0854492,0,0,0,0,0,0,0.000248,0.000289043,0.00096,0.00051,0.00068,1269.27,2221,0,0,0
1748116502777,0,0,0,0,1.07353e+07,122519828733116,0,0.430176,0.203613,0.0854492,0,0,0,0,0,0,0.000248,0.000289397,0.00096,0.00051,0.000542,1265.26,2221,0,0,0
1748116503053,0,0,0,0,1.07353e+07,122519828733116,0,0.430176,0.203613,0.0854492,0,0,0,0,0,0,0.000248,0.000289256,0.00096,0.00051,0.000542,1260.49,2221,0,0,0
1748116503328,0,0,0,0,1.07353e+07,122519828733116,0,0.430176,0.203613,0.0854492,0,0,0,0,0,0,0.000248,0.000289676,0.00096,0.00051,0.000542,1259.77,2221,0,0,0
1748116503598,0,0,0,0,1.07353e+07,122519828733116,0,0.430176,0.203613,0.0854492,0,0,0,0,0,0,0.000248,0.000289517,0.00096,0.00051,0.000542,1256.15,2221,0,0,0
1748116503861,0,0,0,0,1.07353e+07,122519795178680,0,0.430176,0.203613,0.0854492,0,0,0,0,0,0,0.000248,0.00029052,0.00096,0.00051,0.000542,1254.97,2221,0,0,0
1748116504138,0,0,0,0,1.07353e+07,122519795178680,0,0.430176,0.203613,0.0854492,0,0,0,0,0,0,0.000248,0.000290276,0.00096,0.00051,0.000542,1250.15,2221,0,0,0
1748116504413,0,0,0,0,1.07353e+07,122519795178680,0,0.430176,0.203613,0.0854492,0,0,0,0,0,0,0.000248,0.000290368,0.00096,0.00051,0.000542,1247.72,2221,0,0,0
1748116504674,0,0,0,0,1.07353e+07,122519795178680,0,0.430176,0.203613,0.0854492,0,0,0,0,0,0,0.000248,0.000290053,0.00096,0.00051,0.000542,1245.68,2221,0,0,0
1748116504947,0,0,0,0,1.07353e+07,122519761624244,0,0.430176,0.203613,0.0854492,0,0,0,0,0,0,0.000248,0.000289803,0.00096,0.00051,0.000542,1242.7,2221,0,0,0
1748116505223,0,0,0,0,1.07353e+07,122519761624244,0,0.555664,0.233398,0.0961914,0,0,0,0,0,0,0.000248,0.000289537,0.00096,0.00051,0.000542,1240.72,2221,0,0,0
1748116505499,0,0,0,0,1.07353e+07,122519728069808,0,0.555664,0.233398,0.0961914,0,0,0,0,0,0,0.000248,0.000289889,0.00096,0.00051,0.000542,1239.06,2221,0,0,0
1748116505767,2.30263,0,0,0,1.48677e+07,121827298728512,0,0.555664,0.233398,0.0961914,0,0,0,0,0,0,0.000248,0.000289562,0.00096,0.00051,0.000542,1236.88,2221,0,0,0
1748116506037,12.5,0,0,0,2.01104e+07,120949246247264,0,0.555664,0.233398,0.0961914,0,0,0,0,0,0,0.000248,0.000289658,0.00096,0.00051,0.000542,1237.09,2221,0,0,0
1748116506307,12.5,0,0,0,2.40008e+07,120298927723148,0,0.555664,0.233398,0.0961914,0,0,0,0,0,0,0.000248,0.000289625,0.00096,0.00051,0.000542,1238.02,2221,0,0,0
1748116506576,12.5,0,0,0,2.6563e+07,119869665823400,0,0.555664,0.233398,0.0961914,0,0,0,0,0,0,0.000248,0.00028954,0.00096,0.00051,0.000542,1240.35,2221,0,0,0
1748116506847,12.5,0,0,0,2.67053e+07,119846412599252,0,0.555664,0.233398,0.0961914,0,0,0,0,0,0,0.000248,0.000289438,0.00096,0.00051,0.000542,1242.04,2221,0,0,0
1748116507116,12.5,0,0,0,2.67218e+07,119843325591140,0,0.555664,0.233398,0.0961914,0,0,0,0,0,0,0.000248,0.000289878,0.00096,0.00051,0.000542,1243.2,2221,0,0,0
1748116507374,12.5,0,0,0,2.67242e+07,119843292036704,0,0.555664,0.233398,0.0961914,0,0,0,0,0,0,0.000248,0.000289608,0.00096,0.00051,0.000542,1244.71,2221,0,0,0
1748116507648,12.5,0,0,0,2.77124e+07,119676962697452,0,0.555664,0.233398,0.0961914,0,0,0,0,0,0,0.000248,0.000290652,0.00096,0.00051,0.00068,1246.53,2221,0,0,0
1748116507917,12.5,0,0,0,2.76158e+07,119693337262220,0,0.555664,0.233398,0.0961914,0,0,0,0,0,0,0.000248,0.000290364,0.00096,0.00051,0.00068,1248.98,2221,0,0,0
1748116508187,12.5,0,0,0,2.7713e+07,119676929143016,0,0.555664,0.233398,0.0961914,0,0,0,0,0,0,0.000248,0.000290283,0.00096,0.00051,0.000542,1252.14,2251,0,0,0
1748116508457,12.5,0,0,0,2.77144e+07,119676929143016,0,0.555664,0.233398,0.0961914,0,0,0,0,0,0,0.000248,0.000290122,0.00096,0.00051,0.000542,1252.71,2251,0,0,0
1748116508718,12.5,0,0,0,2.66101e+07,119862082520864,0,0.555664,0.233398,0.0961914,0,0,0,0,0,0,0.000248,0.000290631,0.00096,0.00051,0.000671,1254.24,2251,0,0,0
1748116508986,12.5,0,0,0,2.67214e+07,119843057155652,0,0.555664,0.233398,0.0961914,0,0,0,0,0,0,0.000248,0.000290644,0.00096,0.00051,0.000671,1253.64,2251,0,0,0
1748116509257,12.5,0,0,0,2.67216e+07,119842922937908,0,0.555664,0.233398,0.0961914,0,0,0,0,0,0,0.000248,0.00029037,0.00096,0.00051,0.000671,1253.07,2251,0,0,0
1748116509527,12.5,0,0,0,2.67182e+07,119842922937908,0,0.59082,0.246094,0.101074,0,0,0,0,0,0,0.000248,0.000291087,0.00096,0.00051,0.00068,1252.36,2251,0,0,0
1748116509796,12.5,0,0,0,2.67214e+07,119842922937908,0,0.59082,0.246094,0.101074,0,0,0,0,0,0,0.000248,0.000290814,0.00096,0.00051,0.00068,1254.48,2251,0,0,0
1748116510067,12.5,0,0,0,2.77163e+07,119676593598656,0,0.59082,0.246094,0.101074,0,0,0,0,0,0,0.000248,0.000290842,0.00096,0.00051,0.00068,1255.67,2251,0,0,0
1748116510337,12.5,0,0,0,2.68918e+07,119814837874976,0,0.59082,0.246094,0.101074,0,0,0,0,0,0,0.000248,0.000290602,0.00096,0.00051,0.00068,1256.86,2251,0,0,0
1748116510606,12.5,0,0,0,2.77169e+07,119676560044220,0,0.59082,0.246094,0.101074,0,0,0,0,0,0,0.000248,0.000290662,0.00096,0.00051,0.00068,1257.11,2251,0,0,0
1748116510867,12.5,0,0,0,2.74019e+07,119728972073252,0,0.59082,0.246094,0.101074,0,0,0,0,0,0,0.000248,0.000290458,0.00096,0.00051,0.00068,1257.61,2251,0,0,0
1748116511137,12.8676,0,0,0,2.77175e+07,119676526489784,0,0.59082,0.246094,0.101074,0,0,0,0,0,0,0.000248,0.000290364,0.00096,0.00051,0.00068,1257.36,2251,0,0,0
1748116511407,12.5,0,0,0,2.62586e+07,119920769229428,0,0.59082,0.246094,0.101074,0,0,0,0,0,0,0.000248,0.000290132,0.00096,0.00051,0.00068,1258.36,2251,0,0,0
1748116511677,12.5,0,0,0,2.63942e+07,119897448896408,0,0.59082,0.246094,0.101074,0,0,0,0,0,0,0.000248,0.000289975,0.00096,0.00051,0.00068,1257.05,2251,0,0,0
1748116511948,12.5,0,0,0,2.65165e+07,119877249125936,0,0.59082,0.246094,0.101074,0,0,0,0,0,0,0.000248,0.000289986,0.00096,0.00051,0.00068,1258.32,2251,0,0,0
1748116512203,12.5,0,0,0,2.6724e+07,119842855829036,0,0.59082,0.246094,0.101074,0,0,0,0,0,0,0.000248,0.000289797,0.00096,0.00051,0.00068,1260.87,2251,0,0,0
1748116512478,12.5,0,0,0,2.75212e+07,119709040738268,0,0.59082,0.246094,0.101074,0,0,0,0,0,0,0.000248,0.000289591,0.00096,0.00047,0.00068,1262.39,2251,0,0,0
1748116512746,12.5,0,0,0,2.77177e+07,119676492935348,0,0.59082,0.246094,0.101074,0,0,0,0,0,0,0.000248,0.000289457,0.00096,0.00047,0.00068,1262.4,2251,0,0,0
1748116513018,12.5,0,0,0,2.77136e+07,119676492935348,0,0.59082,0.246094,0.101074,0,0,0,0,0,0,0.000248,0.000289245,0.00096,0.00047,0.00068,1262.87,2251,0,0,0
1748116513288,12.5,0,0,0,2.67637e+07,119836044278528,0,0.59082,0.246094,0.101074,0,0,0,0,0,0,0.000248,0.000289584,0.00096,0.00051,0.00068,1264.31,2251,0,0,0
1748116513557,12.5,0,0,0,2.77144e+07,119676492935348,0,0.59082,0.246094,0.101074,0,0,0,0,0,0,0.000248,0.000289385,0.00096,0.00047,0.000671,1264.44,2251,0,0,0
1748116513828,12.5,0,0,0,2.67246e+07,119842822274600,0,0.59082,0.246094,0.101074,0,0,0,0,0,0,0.000248,0.00029041,0.00096,0.00051,0.00068,1265.97,2251,0,0,0
1748116514097,12.5,0,0,0,2.6721e+07,119842755165728,0,0.59082,0.246094,0.101074,0,0,0,0,0,0,0.000248,0.000290427,0.00096,0.00051,0.00068,1266.2,2251,0,0,0
